n_caps | min_Z | models | nodes
0.067331 | [1014, 1012] | [9, 14]
3 | 0.055055 | [1014, 1012, 512] | [9, 14, 15]
4 | 0.051462 | [1014, 1012, 512, 524] | [9, 14, 15, 10]
5 | 0.049362 | [1014, 1012, 511, 524, 300] | [9, 14, 15, 10, 5]
6 | 0.047291 | [1014, 1012, 511, 524, 300, 365] | [9, 14, 15, 10, 5, 6]
7 | 0.045732 | [1014, 1012, 511, 524, 300, 365, 362] | [9, 14, 15, 10, 6, 7, 5]
8 | 0.044408 | [1014, 1012, 511, 524, 300, 365, 362, 171] | [10, 14, 15, 9, 6, 7, 5, 16]
9 | 0.043424 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488] | [9, 15, 14, 10, 6, 7, 5, 16, 8]
10 | 0.043328 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488, 617] | [9, 15, 14, 10, 6, 7, 5, 16, 8, 2]
11 | 0.043136 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488, 617, 1728] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 2]
12 | 0.043077 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488, 617, 1727, 47] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 2, 11]
13 | 0.042865 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488, 617, 1727, 47, 118] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 2, 11, 12]
14 | 0.042851 | [1014, 1012, 512, 524, 300, 365, 362, 171, 488, 617, 1727, 47, 118, 1355] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 2, 11, 12, 1]
15 | 0.042837 | [1014, 1012, 512, 523, 300, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 2, 11, 13, 1, 4]
16 | 0.042851 | [1014, 1012, 512, 523, 300, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241, 337] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 1, 11, 13, 2, 4, 18]
17 | 0.042852 | [1014, 1012, 512, 523, 300, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241, 337, 1213] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 1, 11, 13, 2, 4, 18, 20]
18 | 0.042855 | [1014, 1012, 512, 523, 300, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241, 337, 1213, 112] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 1, 11, 13, 2, 4, 18, 20, 19]
19 | 0.042837 | [1014, 1012, 512, 523, 301, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241, 339, 1213, 112, 32] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 1, 11, 12, 2, 4, 18, 20, 19, 13]
20 | 0.042872 | [1014, 1012, 512, 523, 301, 363, 362, 171, 488, 617, 1727, 47, 118, 1354, 2241, 338, 1213, 112, 32, 2740] | [9, 16, 14, 10, 6, 7, 5, 15, 8, 3, 1, 11, 12, 2, 4, 19, 20, 13, 17, 18]
