n_caps | min_Z | models | nodes
0.067454 | [1012, 1126] | [9, 10]
3 | 0.057962 | [1012, 1126, 893] | [9, 10, 15]
4 | 0.054844 | [1012, 1126, 893, 2599] | [9, 10, 15, 5]
5 | 0.050239 | [1012, 1126, 893, 2599, 605] | [9, 10, 15, 6, 5]
6 | 0.048377 | [1012, 1126, 892, 1676, 606, 1425] | [9, 10, 15, 6, 5, 14]
7 | 0.045947 | [1012, 1126, 892, 1677, 606, 1426, 447] | [9, 10, 15, 6, 5, 14, 7]
8 | 0.043545 | [1012, 1126, 892, 1677, 606, 1426, 447, 189] | [9, 10, 14, 6, 5, 15, 7, 16]
9 | 0.042180 | [1012, 1126, 892, 1677, 606, 1426, 447, 189, 262] | [9, 10, 14, 6, 5, 15, 7, 16, 8]
10 | 0.041998 | [1012, 1126, 893, 1677, 606, 1426, 447, 189, 262, 98] | [9, 10, 14, 6, 5, 15, 7, 16, 8, 11]
