n_caps | min_Z | models | nodes
.073488 | [1014, 1155] | [9, 15]
3 | 0.059999 | [1014, 1155, 899] | [9, 15, 10]
4 | 0.052993 | [1014, 1155, 899, 434] | [9, 15, 10, 16]
5 | 0.049606 | [1014, 1155, 898, 434, 588] | [9, 15, 10, 16, 7]
6 | 0.048773 | [1014, 1155, 899, 434, 588, 362] | [9, 16, 10, 15, 7, 11]
7 | 0.045417 | [1014, 1155, 898, 434, 588, 362, 434] | [9, 16, 10, 15, 6, 11, 5]
8 | 0.043757 | [1014, 1155, 898, 434, 588, 362, 434, 226] | [9, 16, 10, 15, 6, 11, 5, 7]
9 | 0.042579 | [1014, 1155, 898, 434, 588, 362, 434, 226, 366] | [9, 15, 10, 16, 6, 11, 5, 7, 14]
10 | 0.042121 | [1014, 1156, 898, 434, 588, 362, 434, 226, 365, 2012] | [9, 14, 10, 15, 6, 11, 5, 7, 16, 4]
11 | 0.042007 | [1014, 1156, 898, 434, 588, 363, 433, 226, 365, 2012, 1170] | [9, 14, 10, 16, 6, 11, 5, 7, 15, 4, 2]
12 | 0.041993 | [1014, 1156, 898, 433, 588, 363, 434, 226, 365, 2012, 1170, 1345] | [9, 14, 10, 16, 6, 11, 5, 7, 15, 4, 2, 1]
