2026-01-10 19:52:15,238 INFO: n_caps=1 | minZ=0.093198 | models=[1014] | nodes=[14]
2026-01-10 19:52:59,258 INFO: n_caps=2 | minZ=0.069737 | models=[1014, 1012] | nodes=[14, 15]
2026-01-10 19:53:39,509 INFO: n_caps=3 | minZ=0.058075 | models=[1014, 1012, 434] | nodes=[14, 15, 5]
2026-01-10 19:54:16,464 INFO: n_caps=4 | minZ=0.049936 | models=[1014, 1012, 434, 509] | nodes=[14, 15, 5, 9]
2026-01-10 19:54:55,388 INFO: n_caps=5 | minZ=0.048442 | models=[1014, 1012, 434, 509, 613] | nodes=[14, 15, 5, 9, 10]
2026-01-10 19:55:34,772 INFO: n_caps=6 | minZ=0.046301 | models=[1014, 1012, 434, 509, 613, 175] | nodes=[14, 15, 5, 9, 10, 16]
2026-01-10 19:56:15,782 INFO: n_caps=7 | minZ=0.044846 | models=[1014, 1012, 434, 509, 613, 174, 150] | nodes=[14, 15, 5, 9, 10, 16, 6]
2026-01-10 19:56:56,975 INFO: n_caps=8 | minZ=0.043154 | models=[1014, 1012, 434, 509, 614, 174, 150, 260] | nodes=[14, 15, 5, 9, 10, 16, 6, 7]
2026-01-10 19:57:38,892 INFO: n_caps=9 | minZ=0.041882 | models=[1014, 1012, 434, 509, 614, 174, 149, 260, 2406] | nodes=[14, 15, 5, 9, 10, 16, 7, 6, 18]
2026-01-10 19:57:38,893 INFO: Threshold reached at n_caps=9
