n_caps | min_Z | models | nodes
 0.064766 | [1012, 1012] | [9, 10]
3 | 0.054024 | [1012, 1012, 500] | [9, 10, 15]
4 | 0.050937 | [1012, 1012, 500, 392] | [9, 10, 14, 15]
5 | 0.048789 | [1012, 1012, 500, 391, 273] | [9, 10, 14, 15, 6]
6 | 0.046832 | [1012, 1012, 500, 391, 273, 447] | [9, 10, 14, 15, 6, 5]
7 | 0.045593 | [1012, 1012, 500, 391, 273, 447, 365] | [9, 10, 14, 15, 6, 5, 16]
8 | 0.043776 | [1012, 1012, 501, 392, 273, 447, 366, 282] | [9, 10, 15, 16, 6, 5, 14, 7]
9 | 0.043339 | [1012, 1012, 501, 390, 273, 447, 365, 282, 1122] | [9, 10, 14, 15, 6, 5, 16, 7, 8]
10 | 0.043267 | [1012, 1012, 501, 390, 273, 447, 365, 282, 1122, 1423] | [9, 10, 14, 15, 6, 5, 16, 7, 8, 2]
11 | 0.043195 | [1012, 1012, 501, 389, 273, 447, 365, 282, 1122, 1423, 117] | [9, 10, 15, 16, 6, 5, 14, 7, 8, 1, 17]
12 | 0.042832 | [1012, 1012, 501, 389, 273, 447, 365, 283, 1122, 1423, 116, 327] | [9, 10, 12, 14, 6, 5, 15, 7, 8, 2, 16, 11]
13 | 0.042722 | [1012, 1012, 501, 389, 273, 447, 365, 283, 1122, 1423, 116, 327, 164] | [9, 10, 12, 14, 6, 5, 15, 7, 8, 2, 16, 11, 17]
14 | 0.042700 | [1012, 1012, 501, 389, 273, 447, 365, 283, 1122, 1423, 116, 327, 164, 1650] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1]
15 | 0.042711 | [1012, 1012, 501, 389, 273, 447, 365, 283, 1122, 1423, 116, 327, 164, 1650, 597] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3]
16 | 0.042663 | [1012, 1012, 501, 390, 273, 447, 365, 284, 1122, 1423, 116, 328, 164, 1650, 597, 3334] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3, 4]
17 | 0.042680 | [1012, 1012, 501, 390, 273, 447, 365, 284, 1122, 1423, 116, 328, 164, 1650, 597, 3334, 111] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3, 4, 13]
18 | 0.042682 | [1012, 1012, 501, 390, 273, 447, 365, 284, 1122, 1423, 116, 328, 164, 1650, 597, 3334, 111, 30] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3, 4, 13, 18]
19 | 0.042684 | [1012, 1012, 501, 390, 273, 447, 365, 284, 1122, 1423, 116, 328, 164, 1650, 597, 3334, 111, 30, 3334] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3, 4, 13, 18, 19]
20 | 0.042686 | [1012, 1012, 501, 390, 273, 447, 365, 284, 1122, 1423, 116, 328, 164, 1650, 597, 3334, 111, 30, 3334, 3312] | [9, 10, 11, 14, 6, 5, 15, 7, 8, 2, 16, 12, 17, 1, 3, 4, 13, 18, 19, 20]
