n_caps | min_Z | models | nodes
0.067602 | [1014, 899] | [9, 15]
3 | 0.058238 | [1014, 899, 367] | [9, 15, 10]
4 | 0.052897 | [1014, 899, 367, 765] | [9, 14, 10, 5]
5 | 0.049539 | [1014, 899, 367, 765, 511] | [9, 14, 10, 5, 15]
6 | 0.047582 | [1014, 899, 367, 765, 511, 893] | [10, 14, 9, 5, 15, 7]
7 | 0.045998 | [1014, 899, 367, 765, 512, 893, 362] | [10, 14, 9, 5, 16, 7, 6]
8 | 0.044691 | [1014, 899, 367, 764, 513, 893, 362, 1404] | [10, 14, 9, 5, 16, 6, 7, 15]
9 | 0.043292 | [1014, 899, 365, 765, 513, 892, 362, 1404, 456] | [10, 14, 8, 5, 16, 6, 7, 15, 9]
10 | 0.043210 | [1014, 899, 362, 765, 513, 892, 362, 1403, 456, 2533] | [10, 14, 8, 5, 16, 6, 7, 15, 9, 2]
11 | 0.043186 | [1014, 899, 362, 765, 513, 892, 362, 1403, 456, 2533, 678] | [10, 14, 8, 5, 16, 6, 7, 15, 9, 2, 1]
12 | 0.043189 | [1014, 899, 362, 765, 513, 892, 362, 1403, 456, 2533, 678, 114] | [10, 14, 8, 5, 16, 6, 7, 15, 9, 2, 1, 20]
13 | 0.043181 | [1014, 899, 362, 765, 513, 892, 362, 1404, 456, 2533, 678, 114, 16] | [10, 14, 8, 5, 16, 6, 7, 15, 9, 2, 1, 17, 3]
14 | 0.043158 | [1014, 899, 362, 765, 513, 892, 362, 1404, 456, 2532, 678, 114, 16, 394] | [10, 14, 8, 5, 17, 6, 7, 15, 9, 2, 20, 18, 1, 16]
15 | 0.042683 | [1014, 899, 362, 765, 513, 893, 362, 1403, 456, 2532, 678, 114, 16, 395, 682] | [10, 14, 7, 5, 16, 6, 8, 13, 9, 2, 20, 17, 4, 15, 18]
16 | 0.042207 | [1014, 899, 362, 765, 514, 893, 362, 1404, 456, 2532, 678, 115, 15, 395, 682, 2131] | [10, 14, 7, 5, 17, 6, 8, 13, 9, 2, 19, 16, 4, 15, 18, 1]
17 | 0.042158 | [1014, 899, 362, 765, 514, 893, 361, 1403, 456, 2532, 678, 115, 15, 395, 682, 2131, 76] | [10, 14, 7, 5, 17, 6, 8, 13, 9, 2, 20, 16, 4, 15, 18, 3, 11]
18 | 0.042122 | [1014, 899, 362, 765, 513, 893, 361, 1403, 456, 2532, 677, 115, 14, 394, 681, 2130, 76, 2075] | [10, 14, 7, 5, 17, 6, 8, 13, 9, 1, 20, 15, 4, 16, 18, 2, 11, 3]
19 | 0.041988 | [1014, 899, 363, 765, 513, 893, 361, 1403, 456, 2532, 677, 115, 14, 394, 682, 2130, 76, 2075, 2051] | [10, 14, 7, 6, 17, 5, 8, 13, 9, 1, 20, 15, 11, 16, 18, 19, 12, 3, 2]
